 // -t 100 --solver basic greedySPT greedyLRPT greedyEST_SPT greedyEST_LRPT --instance ft06 ft10 ft20 la01 la02 la03 la04 la05 la06 la07 la08 la09 la10 la11 la12 la13 la14 la15 la16 la17 la18 la19 la20 la21 la22 la23 la24 la25 la26 la27 la28 la29 la30 la31 la32 la33 la34 la35 la36 la37 la38 la39 la40

                         basic                         greedySPT                     greedyLRPT                    greedyEST_SPT                 greedyEST_LRPT
instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart
ft06     6x6     55            2       60   9.1             21      108  96.4              2       74  34.5              2       88  60.0              2       61  10.9
ft10     10x10  930            0     1319  41.8              5     2569 176.2              4     1289  38.6              4     1074  15.5              4     1108  19.1
ft20     20x5  1165            0     1672  43.5              2     2765 137.3              1     1943  66.8              2     1267   8.8              2     1407  20.8
la01     10x5   666            0      858  28.8              1     1464 119.8              2     1181  77.3              1      751  12.8              1      818  22.8
la02     10x5   655            1      904  38.0              0     1943 196.6              0     1201  83.4              0      821  25.3              1      848  29.5
la03     10x5   597            0      775  29.8              0     1053  76.4              0      972  62.8              1      672  12.6              1      780  30.7
la04     10x5   590            0      854  44.7              0     1491 152.7              0     1198 103.1              0      711  20.5              0      712  20.7
la05     10x5   593            0      629   6.1              1     1521 156.5              0      917  54.6              0      610   2.9              1      593   0.0
la06     15x5   926            0     1015   9.6              2     2372 156.2              1     1564  68.9              1     1200  29.6              1      977   5.5
la07     15x5   890            0     1096  23.1              0     1823 104.8              1     1515  70.2              1     1034  16.2              1      939   5.5
la08     15x5   863            0     1102  27.7              2     2309 167.6              1     1396  61.8              1      942   9.2              1      895   3.7
la09     15x5   951            0     1024   7.7              1     2638 177.4              1     1310  37.7              1     1045   9.9              1     1095  15.1
la10     15x5   958            0      958   0.0             26     2149 124.3              0     1285  34.1              1     1049   9.5              1      965   0.7
la11     20x5  1222            0     1297   6.1              1     3091 152.9              1     1743  42.6              1     1473  20.5              2     1380  12.9
la12     20x5  1039            0     1205  16.0              2     2359 127.0              1     1591  53.1              1     1305  25.6              2     1136   9.3
la13     20x5  1150            0     1154   0.3              0     2691 134.0              0     1662  44.5              1     1275  10.9              2     1182   2.8
la14     20x5  1292            0     1292   0.0              1     3264 152.6              0     1894  46.6              1     1427  10.4              2     1338   3.6
la15     20x5  1207            0     1586  31.4              1     3179 163.4              1     1813  50.2              1     1376  14.0              1     1440  19.3
la16     10x10  945            0     1327  40.4              1     3492 269.5              1     1443  52.7              1     1156  22.3              1     1054  11.5
la17     10x10  784            0      912  16.3              1     3153 302.2              0     1135  44.8              1      924  17.9              2      846   7.9
la18     10x10  848            0     1024  20.8              1     2788 228.8              1     1130  33.3              1      981  15.7              1      970  14.4
la19     10x10  842            0     1058  25.7              1     3613 329.1              1     1146  36.1              1      940  11.6              1     1013  20.3
la20     10x10  902            1     1259  39.6              1     3029 235.8              1     1404  55.7              2     1000  10.9              2      964   6.9
la21     15x10 1046            0     1555  48.7              2     4968 375.0              1     1957  87.1              2     1324  26.6              3     1385  32.4
la22     15x10  927            0     1360  46.7              1     4106 342.9              1     1862 100.9              5     1180  27.3              1     1247  34.5
la23     15x10 1032            1     1436  39.1              1     4189 305.9              2     1939  87.9              4     1162  12.6              1     1339  29.7
la24     15x10  935            1     1245  33.2              1     4277 357.4              2     2046 118.8              2     1203  28.7              1     1342  43.5
la25     15x10  977            0     1440  47.4              1     4394 349.7              2     2186 123.7              1     1449  48.3              2     1356  38.8
la26     20x10 1218            0     1759  44.4             15     6765 455.4              4     2250  84.7              3     1498  23.0              7     1569  28.8
la27     20x10 1235            0     1791  45.0              2     6818 452.1             10     2352  90.4              5     1784  44.5             13     1572  27.3
la28     20x10 1216            0     1642  35.0              2     6224 411.8              2     2343  92.7              1     1610  32.4              2     1558  28.1
la29     20x10 1152            1     1686  46.4              1     5022 335.9              3     2229  93.5              2     1754  52.3              2     1564  35.8
la30     20x10 1355            0     1774  30.9              1     5409 299.2              2     2362  74.3              1     1792  32.3              2     1678  23.8
la31     30x10 1784            0     2215  24.2              2     8469 374.7              3     3099  73.7              4     2001  12.2              2     1921   7.7
la32     30x10 1850            0     2421  30.9              2     8296 348.4              2     3111  68.2              5     2292  23.9              2     2205  19.2
la33     30x10 1719            1     2139  24.4              2     7124 314.4              2     3064  78.2              4     1945  13.1              6     1948  13.3
la34     30x10 1721            0     2284  32.7              2     8384 387.2              2     2550  48.2              5     2070  20.3              2     1861   8.1
la35     30x10 1888            0     2498  32.3              3     7277 285.4              5     3100  64.2              3     2145  13.6              3     2138  13.2
la36     15x15 1268            0     1677  32.3              1     7510 492.3              1     1981  56.2              2     1799  41.9              2     1510  19.1
la37     15x15 1397            0     2098  50.2              1     7849 461.8              1     2087  49.4              2     1669  19.5              1     1588  13.7
la38     15x15 1196            1     1766  47.7              2     6455 439.7             11     1860  55.5              2     1404  17.4              2     1421  18.8
la39     15x15 1233            0     1794  45.5              1     6195 402.4              6     1778  44.2              2     1599  29.7             10     1500  21.7
la40     15x15 1222            0     1728  41.4              1     6098 399.0              1     1953  59.8             10     1476  20.8              2     1440  17.8
AVG      -        -          0.2        -  29.9            2.7        - 268.1            1.9        -  65.2            2.1        -  21.7            2.3        -  17.9
